MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
ML81945000,DETACHD,RES,UNDRCON,10988,3561 Walnut Circle,Portland,95204,143,5,2.0,3,2112,349,342,20K-.99AC,2023-07-13,87,90,2023-04-17,"$736,366",2023-08-14,"$722,304",1972,0,0,3,CONV
ML81945001,FLTHOME,RES,RESTORD,8291,8694 Cherry Drive,Gaston,95206,$141,3,4.0,3,3090,222,224,20K-.99AC,2024-10-17,25,35,2024-09-22,"$686,238",2024-11-12,"$692,160",1999,0,0,0,LOW-INC
ML81945002,CONDO,RES,UNKNOWN,3116,2193 Willow Road Unit 256,Portland,95195,152,5,2.0,3,4297,155,155,20K-.99AC,2023-03-18,16,17,2023-03-02,"$667,984",2023-04-12,"$666,035",1966,0,1,0,REHAB
ML81945003,DETACHD,RES,RESTORD,11646,306 Walnut Place,Portland,95112,$141,2,3.0,1,1139,1586,1509,20-49.99AC,2024-11-17,28,28,2024-10-20,"$1,807,021",2024-12-15,"$1,718,751",1959,0,2,1,CASH
ML81945004,CONDO,RES,PROPOSD,7562,2848 Pine Road Unit 159,Portland,95116,$141,3,3.0,1,2282,241,246,7-9.99AC,2025-01-14,82,83,2024-10-24,"$551,085",2025-02-21,"$561,372",1995,178,0,0,FCS
ML81945005,IN-PARK,RES,PROPOSD,11850,6396 Redwood Court,Portland,95175,150,4,3.0,3,2366,359,365,20-49.99AC,2024-10-08,11,12,2024-09-27,"$849,730",2024-11-03,"$863,590",2018,0,0,1,FHA
ML81945006,FLTHOME,RES,FIXER,11706,5776 Cherry Boulevard,Newberg,95244,147,2,2.1,3,2662,498,511,"5K-6,999SF",2023-03-20,40,50,2023-02-08,"$1,326,317",2023-04-26,"$1,360,282",1970,0,3,0,LSE-BAK
ML81945007,RES-MFG,RES,EXISTNG,11138,9790 Oak Place,Portland,95107,147,6,4.1,1,4470,442,457,7-9.99AC,2025-01-04,61,71,2024-11-04,"$1,977,118",2025-01-28,"$2,042,790",1986,0,2,1,SGI
ML81945008,ATTACHD,RES,NEW,9090,1132 Elm Circle,Gresham,95243,141,3,2.1,3,3308,599,611,10-19.99AC,2023-06-28,11,19,2023-06-17,"$1,982,643",2023-07-31,"$2,021,188",1991,0,0,0,FHA
ML81945009,FLTHOME,RES,NEW,7786,3443 Maple Way,Portland,95153,$141,3,4.0,1,2013,811,840,"5K-6,999SF",2023-05-19,29,38,2023-04-20,"$1,632,516",2023-06-28,"$1,690,920",1981,0,2,1,CALL-SA
ML81945010,CONDO,RES,REMOD,5965,6031 Pine Drive,Portland,95133,143,1,3.1,1,3098,422,404,"3K-4,999SF",2024-12-27,76,85,2024-10-12,"$1,306,598",2025-01-24,"$1,251,592",1979,0,3,0,NOFNCING
ML81945011,DETACHD,RES,PROPOSD,5513,663 Cherry Way,City,95189,142,3,2.0,2,1271,1530,1600,20K-.99AC,2024-05-13,13,16,2024-04-30,"$1,945,238",2024-06-19,"$2,033,600",1972,0,2,1,LOW-INC
ML81945012,PLNCOMM,RES,FIXER,10687,5894 Elm Drive,Portland,95231,141,1,1.1,2,3345,104,99,20-49.99AC,2023-01-15,14,23,2023-01-01,"$346,427",2023-02-12,"$331,155",1994,0,3,0,LSE-BAK
ML81945013,CONDO,RES,FIXER,4000,7748 Aspen Boulevard Unit 345,Portland,95152,141,3,4.1,2,2960,457,448,7-9.99AC,2023-09-01,39,40,2023-07-24,"$1,353,683",2023-10-09,"$1,326,080",2000,0,2,3,OWNCRRY
ML81945014,ATTACHD,RES,RESTORD,4891,2701 Spruce Boulevard,Portland,95154,141,6,3.0,2,2764,667,671,"10K-14,999SF",2023-11-06,88,88,2023-08-10,"$1,842,562",2023-12-14,"$1,854,644",1974,308,3,1,CALL-SA
ML81945015,DETACHD,RES,APPROX,4286,5840 Cedar Place,West Linn,95189,152,3,1.1,1,4409,410,403,"5K-6,999SF",2023-04-01,73,79,2023-01-18,"$1,809,559",2023-05-03,"$1,776,827",1970,0,2,1,OWNCONT
ML81945016,FLTHOME,RES,REMOD,13702,3178 Spruce Way,Portland,95195,141,4,3.0,3,2310,361,359,5-6.99AC,2023-07-02,6,10,2023-06-26,"$833,391",2023-08-01,"$829,290",1975,0,0,2,FCS
ML81945017,IN-PARK,RES,UNKNOWN,10993,6916 Magnolia Place,Portland,95100,141,6,1.0,1,1471,781,816,"10K-14,999SF",2023-07-25,79,89,2023-05-07,"$1,148,660",2023-09-01,"$1,200,336",2010,0,3,2,OTHER
ML81945018,ATTACHD,RES,UNDRCON,4382,2507 Magnolia Court,Milwaukie,95110,147,3,4.1,2,3836,420,434,"15K-19,999SF",2024-12-29,60,68,2024-10-30,"$1,612,061",2025-01-26,"$1,664,824",1977,0,3,1,TRADE
ML81945019,IN-PARK,RES,REMOD,6831,238 Redwood Lane,Portland,95100,$141,2,3.0,3,3472,215,225,1-2.99AC,2023-05-03,70,80,2023-02-22,"$747,846",2023-05-29,"$781,200",1958,0,3,0,ASSMP
ML81945020,CONDO,RES,REGHIST,6391,3685 Aspen Street Unit 225,Portland,95234,141,6,1.1,3,4169,427,408,"0-2,999SF",2023-08-06,61,69,2023-06-06,"$1,779,278",2023-09-04,"$1,700,952",1997,150,2,1,CONV
ML81945021,IN-PARK,RES,REMOD,13576,318 Oak Lane,Gaston,95102,150,5,4.0,3,2048,638,611,10-19.99AC,2024-03-26,79,87,2024-01-07,"$1,306,181",2024-04-16,"$1,251,328",1964,0,2,3,VA
ML81945022,CONDO,RES,REMOD,8876,1828 Magnolia Place,Portland,95105,141,1,3.1,1,2373,272,283,"7K-9,999SF",2023-09-02,49,51,2023-07-15,"$645,373",2023-09-25,"$671,559",1968,382,1,0,TRADE
